,CPI,GDP,S,RS,D4L_CPI_TAR,GDP_RW,CPI_RW,RS_RW,GDP_05,GDP_MINE_05,GDP_10,GDP_MINE_10,GDP_15,GDP_MINE_15,,,,,,,,,
comment,Headline CPI (index) Source: Mongolbank,"Real GDP (in constant prices, base=2015) Source: NSO",Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt,Nominal Policy Interest Rate (% pa) Source: Mongolbank,Inflation Target (% pa) Source: Mongolbank,China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01,China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI,China 1 year benchmark lending rate (% pa) Source: Bloomberg CHLR12M,ДНБ,"Уул уурхай, олборлолт",ДНБ,"Уул уурхай, олборлолт",ДНБ,"Уул уурхай, олборлолт",,,,,,,,,
2000Q1,19.66,1311515.497,1087.253333,11.2,15,3687.47234,71.21914999,5.85,370561.1,81903.4,,,,,,,,,,,,,
2000Q2,22.3,2149321.044,1045.96,15.6,15,4129.023869,69.95147708,5.85,607278.2,104104.3,,,,,,,,,,,,,
2000Q3,19.85,2144167.868,1078.2,10.9,15,4545.34793,69.71135336,5.85,605822.2,132635.5,,,,,,,,,,,,,
2000Q4,20.04,2258155.696,1094.45,8.6,15,4975.692999,70.94372079,5.85,638028.8,114466.7,,,,,,,,,,,,,
2001Q1,21.84,1423833.144,1098.253333,11.2,15,4037.782213,71.69185999,5.85,402295.8,79408,,,,,,,,,,,,,
2001Q2,22.55,2174703.621,1093.873333,12.49,15,4484.119922,71.04778375,5.85,614449.9,111494.3,,,,,,,,,,,,,
2001Q3,20.89,2203896.575,1098.2,9.9,15,4908.975765,70.26389989,5.85,622698.2,151174.4,,,,,,,,,,,,,
2001Q4,21.59,2292902.826,1100.286667,8.61,15,5348.869974,70.84885356,5.85,647846.4,127698.8,,,,,,,,,,,,,
2002Q1,21.45,1672115.358,1103.333333,11.35,8,4397.14483,71.27110197,5.31,472446.5,92644.9,,,,,,,,,,,,,
2002Q2,22.47,2283609.767,1104,11.48,8,4878.722475,70.34344848,5.31,645220.7,113982.8,,,,,,,,,,,,,
