"Variables ->","CPI","GDP","S","RS","D4L_CPI_TAR","GDP_RW","CPI_RW","RS_RW","GDP_05","GDP_MINE_05","GDP_10","GDP_MINE_10","GDP_15","GDP_MINE_15","GDP_MINE","GDP_OTH","CPI_seas","CPI_RW_seas","GDP_seas","GDP_05_seas","GDP_10_seas","GDP_15_seas","GDP_MINE_seas","GDP_MINE_05_seas","GDP_MINE_10_seas","GDP_MINE_15_seas","GDP_OTH_seas","GDP_RW_seas","S_seas","L_CPI","L_CPI_RW","L_GDP","L_GDP_05","L_GDP_10","L_GDP_15","L_GDP_MINE","L_GDP_MINE_05","L_GDP_MINE_10","L_GDP_MINE_15","L_GDP_OTH","L_GDP_RW","L_S","L_Z","DLA_CPI","DLA_CPI_RW","DLA_GDP","DLA_GDP_05","DLA_GDP_10","DLA_GDP_15","DLA_GDP_MINE","DLA_GDP_MINE_05","DLA_GDP_MINE_10","DLA_GDP_MINE_15","DLA_GDP_OTH","DLA_GDP_RW","DLA_S","DLA_Z","D4L_CPI","D4L_CPI_RW","D4L_GDP","D4L_GDP_05","D4L_GDP_10","D4L_GDP_15","D4L_GDP_MINE","D4L_GDP_MINE_05","D4L_GDP_MINE_10","D4L_GDP_MINE_15","D4L_GDP_OTH","D4L_GDP_RW","D4L_S","D4L_Z","RR","RR_RW","L_GDP_BAR","L_GDP_GAP","L_GDP_MINE_BAR","L_GDP_MINE_GAP","L_GDP_OTH_BAR","L_GDP_OTH_GAP","RR_BAR","RR_GAP","RR_RW_BAR","RR_RW_GAP","L_GDP_RW_BAR","L_GDP_RW_GAP","L_Z_BAR","L_Z_GAP","DLA_GDP_BAR","DLA_Z_BAR"
"Comments ->","Headline CPI (index) Source: Mongolbank","ДНБ","Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt","Nominal Policy Interest Rate (% pa) Source: Mongolbank","Inflation Target (% pa) Source: Mongolbank","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01","China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI","China 1 year benchmark lending rate (% pa) Source: Bloomberg CHLR12M","ДНБ","Уул уурхай,олборлолт","ДНБ","Уул уурхай,олборлолт","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","Headline CPI (index) Source: Mongolbank","China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI","ДНБ","ДНБ","ДНБ","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01","Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt","Headline CPI (index) Source: Mongolbank","China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI","ДНБ","ДНБ","ДНБ","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01","Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt","","Headline CPI (index) Source: Mongolbank","China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI","ДНБ","ДНБ","ДНБ","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01","Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt","","Headline CPI (index) Source: Mongolbank","China: CPI Source: FRED https://fred.stlouisfed.org/series/CHNCPIALLQINMEI","ДНБ","ДНБ","ДНБ","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01","Nominal Exchange Rate (tugrug per 1 USD) Source: Macro husnegt","","","","ДНБ","ДНБ","Уул уурхай,олборлолт","Уул уурхай,олборлолт","","","","","","","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01","China Real GDP (in constant prices) Source: Bloomberg CNGDGDP Index: https://data.stats.gov.cn/english/easyquery.htm?cn=B01","","","ДНБ",""
"Class[Size] ->","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]","tseries[99-by-1]"
"2000Q1",1.96600000e+01,1.19321801e+06,1.08725333e+03,1.12000000e+01,1.50000000e+01,3.68747234e+03,7.12191500e+01,5.85000000e+00,1.19321801e+06,2.16117751e+05,NaN,NaN,NaN,NaN,2.16117751e+05,9.77100258e+05,1.97115950e+01,7.04768494e+01,1.62425871e+06,1.61280315e+06,NaN,NaN,2.82250769e+05,2.82440906e+05,NaN,NaN,1.33052895e+06,4.14809060e+03,1.08364871e+03,2.98120704e+02,4.25528428e+02,1.43005621e+03,1.42934843e+03,NaN,NaN,1.25505512e+03,1.25512246e+03,NaN,NaN,1.41010871e+03,8.33040341e+02,6.98808906e+02,8.26216630e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.43443525e+03,-4.37904539e+00,1.25183242e+03,3.22269617e+00,1.41669667e+03,-6.58795397e+00,NaN,NaN,NaN,NaN,8.34451364e+02,-1.41102290e+00,NaN,NaN,NaN,NaN
"2000Q2",2.23000000e+01,1.95545427e+06,1.04596000e+03,1.56000000e+01,1.50000000e+01,4.12902387e+03,6.99514771e+01,5.85000000e+00,1.95545427e+06,2.74699063e+05,NaN,NaN,NaN,NaN,2.74699063e+05,1.68075521e+06,2.12508936e+01,7.00480697e+01,1.77293045e+06,1.77156931e+06,NaN,NaN,2.76053967e+05,2.77789893e+05,NaN,NaN,1.49824327e+06,4.27284750e+03,1.05299389e+03,3.05639895e+02,4.24918172e+02,1.43881444e+03,1.43873763e+03,NaN,NaN,1.25283517e+03,1.25346203e+03,NaN,NaN,1.42198038e+03,8.36003575e+02,6.95939271e+02,8.15217548e+02,3.00767616e+01,-2.44102478e+00,3.50329057e+01,3.75568056e+01,NaN,NaN,-8.87981839e+00,-6.64172049e+00,NaN,NaN,4.74866785e+01,1.18529334e+01,-1.14785392e+01,-4.39963255e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.43595823e+03,2.85620747e+00,1.25309421e+03,-2.59044393e-01,1.41828314e+03,3.69724096e+00,NaN,NaN,NaN,NaN,8.36692082e+02,-6.88507842e-01,NaN,NaN,6.09189425e+00,NaN
"2000Q3",1.98500000e+01,1.95076591e+06,1.07820000e+03,1.09000000e+01,1.50000000e+01,4.54534793e+03,6.97113534e+01,5.85000000e+00,1.95076591e+06,3.49984079e+05,NaN,NaN,NaN,NaN,3.49984079e+05,1.60078183e+06,2.04840430e+01,7.03946351e+01,1.82546099e+06,1.82921815e+06,NaN,NaN,2.94921085e+05,2.94603554e+05,NaN,NaN,1.53547396e+06,4.38550575e+03,1.07783260e+03,3.01964619e+02,4.25411705e+02,1.44173431e+03,1.44193992e+03,NaN,NaN,1.25944631e+03,1.25933858e+03,NaN,NaN,1.42443497e+03,8.38606023e+02,6.98270745e+02,8.21717832e+02,-1.47011021e+01,1.97413493e+00,1.16795023e+01,1.28091471e+01,NaN,NaN,2.64445723e+01,2.35062080e+01,NaN,NaN,9.81833299e+00,1.04097954e+01,9.32589724e+00,2.60011342e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.43747846e+03,4.25584638e+00,1.25435801e+03,5.08829853e+00,1.41986550e+03,4.56946698e+00,NaN,NaN,NaN,NaN,8.38931919e+02,-3.25895407e-01,NaN,NaN,6.08094663e+00,NaN
"2000Q4",2.00400000e+01,2.05447214e+06,1.09445000e+03,8.60000000e+00,1.50000000e+01,4.97569300e+03,7.09437208e+01,5.85000000e+00,2.05447214e+06,3.02042233e+05,NaN,NaN,NaN,NaN,3.02042233e+05,1.75242990e+06,2.03566255e+01,7.09022592e+01,1.88223615e+06,1.88633002e+06,NaN,NaN,2.87077411e+05,2.85661833e+05,NaN,NaN,1.59227235e+06,4.49325208e+03,1.09116589e+03,3.01340644e+02,4.26130230e+02,1.44479711e+03,1.44501437e+03,NaN,NaN,1.25675072e+03,1.25625640e+03,NaN,NaN,1.42806727e+03,8.41033201e+02,6.99500203e+02,8.24289788e+02,-2.49590084e+00,2.87409747e+00,1.22511815e+01,1.22978062e+01,NaN,NaN,-1.07823631e+01,-1.23287426e+01,NaN,NaN,1.45292174e+01,9.70871141e+00,4.91782804e+00,1.02878264e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.43899501e+03,5.80209379e+00,1.25562568e+03,1.12504113e+00,1.42144193e+03,6.62533827e+00,NaN,NaN,NaN,NaN,8.41169561e+02,-1.36359863e-01,NaN,NaN,6.06619192e+00,NaN
"2001Q1",2.18400000e+01,1.29540471e+06,1.09825333e+03,1.12000000e+01,1.50000000e+01,4.03778221e+03,7.16918600e+01,5.85000000e+00,1.29540471e+06,2.09533162e+05,NaN,NaN,NaN,NaN,2.09533162e+05,1.08587155e+06,2.18903506e+01,7.09533693e+01,1.75423590e+06,1.74952520e+06,NaN,NaN,2.74657428e+05,2.75055860e+05,NaN,NaN,1.47657637e+06,4.53503193e+03,1.09447528e+03,3.08604593e+02,4.26202289e+02,1.43775439e+03,1.43748550e+03,NaN,NaN,1.25232799e+03,1.25247295e+03,NaN,NaN,1.42052367e+03,8.41958740e+02,6.99803033e+02,8.17400729e+02,2.90557965e+01,2.88237220e-01,-2.81708534e+01,-3.01154847e+01,NaN,NaN,-1.76909193e+01,-1.51338023e+01,NaN,NaN,-3.01744009e+01,3.70215676e+00,1.21132312e+00,-2.75562361e+01,1.04838888e+01,6.73861210e-01,7.69818404e+00,8.13706857e+00,NaN,NaN,-2.72713213e+00,-2.64951433e+00,NaN,NaN,1.04149570e+01,8.91839924e+00,9.94127312e-01,-8.81590027e+00,7.16111207e-01,5.17613879e+00,1.44050958e+03,-2.75518699e+00,1.25690224e+03,-4.57425426e+00,1.42301349e+03,-2.48982007e+00,8.21894533e+00,-7.50283412e+00,5.61653760e+00,-4.40398812e-01,8.43403493e+02,-1.44475299e+00,NaN,NaN,6.05826974e+00,NaN
"2001Q2",2.25500000e+01,1.97854736e+06,1.09387333e+03,1.24900000e+01,1.50000000e+01,4.48411992e+03,7.10477837e+01,5.85000000e+00,1.97854736e+06,2.94198988e+05,NaN,NaN,NaN,NaN,2.94198988e+05,1.68434837e+06,2.15375615e+01,7.11412854e+01,1.79409495e+06,1.79017786e+06,NaN,NaN,2.93009145e+05,2.94347580e+05,NaN,NaN,1.50133769e+06,4.64197540e+03,1.10153612e+03,3.06979846e+02,4.26466783e+02,1.44000112e+03,1.43978255e+03,NaN,NaN,1.25879591e+03,1.25925166e+03,NaN,NaN,1.42218671e+03,8.44289529e+02,7.00446096e+02,8.19933033e+02,-6.49898817e+00,1.05797765e+00,8.98692633e+00,9.18821594e+00,NaN,NaN,2.58716862e+01,2.71148437e+01,NaN,NaN,6.65214393e+00,9.32315337e+00,2.57224929e+00,1.01292151e+01,1.33995135e+00,1.54861182e+00,1.18668920e+00,1.04492115e+00,NaN,NaN,5.96074402e+00,5.78962671e+00,NaN,NaN,2.06323358e-01,8.28595422e+00,4.50682442e+00,4.71548489e+00,1.11500486e+01,4.30138818e+00,1.44202750e+03,-2.02637673e+00,1.25819344e+03,6.02467181e-01,1.42458536e+03,-2.39865732e+00,7.87043822e+00,3.27961042e+00,5.47020562e+00,-1.16881744e+00,8.45632115e+02,-1.34258587e+00,NaN,NaN,6.07168531e+00,NaN
"2001Q3",2.08900000e+01,2.00510714e+06,1.09820000e+03,9.90000000e+00,1.50000000e+01,4.90897577e+03,7.02638999e+01,5.85000000e+00,2.00510714e+06,3.98902505e+05,NaN,NaN,NaN,NaN,3.98902505e+05,1.60620463e+06,2.15019120e+01,7.09336419e+01,1.87944843e+06,1.88210241e+06,NaN,NaN,3.36795251e+05,3.36128289e+05,NaN,NaN,1.54264223e+06,4.73442736e+03,1.09778182e+03,3.06814186e+02,4.26174482e+02,1.44464889e+03,1.44479000e+03,NaN,NaN,1.27272305e+03,1.27252482e+03,NaN,NaN,1.42490072e+03,8.46261606e+02,7.00104689e+02,8.19464985e+02,-6.62638422e-01,-1.16920658e+00,1.85910618e+01,2.00297911e+01,NaN,NaN,5.57085439e+01,5.30926349e+01,NaN,NaN,1.08560710e+01,7.88830947e+00,-1.36562497e+00,-1.87219312e+00,4.84956726e+00,7.62776440e-01,2.91457907e+00,2.85008216e+00,NaN,NaN,1.32767369e+01,1.31862334e+01,NaN,NaN,4.65757859e-01,7.65558275e+00,1.83394387e+00,-2.25284695e+00,5.05043274e+00,5.08722356e+00,1.44355239e+03,1.09650105e+00,1.25950215e+03,1.32208918e+01,1.42616119e+03,-1.26046183e+00,7.51724185e+00,-2.46680911e+00,5.32359839e+00,-2.36374828e-01,8.47852921e+02,-1.59131453e+00,NaN,NaN,6.09955066e+00,NaN
"2001Q4",2.15900000e+01,2.08608511e+06,1.10028667e+03,8.61000000e+00,1.50000000e+01,5.34886997e+03,7.08488536e+01,5.85000000e+00,2.08608511e+06,3.36957654e+05,NaN,NaN,NaN,NaN,3.36957654e+05,1.74912745e+06,2.19195960e+01,7.08258015e+01,1.91679016e+06,1.91821713e+06,NaN,NaN,3.23248883e+05,3.22514811e+05,NaN,NaN,1.58808480e+06,4.84145804e+03,1.09667069e+03,3.08738103e+02,4.26022336e+02,1.44661626e+03,1.44669067e+03,NaN,NaN,1.26861778e+03,1.26839043e+03,NaN,NaN,1.42780393e+03,8.48497120e+02,7.00003422e+02,8.17287655e+02,7.69566756e+00,-6.08582670e-01,7.86945903e+00,7.60268876e+00,NaN,NaN,-1.64210478e+01,-1.65375358e+01,NaN,NaN,1.16128329e+01,8.94205649e+00,-4.05068532e-01,-8.70931877e+00,7.39745936e+00,-1.07893595e-01,1.81914844e+00,1.67630279e+00,NaN,NaN,1.18670657e+01,1.21340351e+01,NaN,NaN,-2.63338265e-01,7.46391902e+00,5.03219728e-01,-7.00213323e+00,1.21254064e+00,5.95789360e+00,1.44508659e+03,1.52966584e+00,1.26083163e+03,7.78615392e+00,1.42774309e+03,6.08403509e-02,7.15671669e+00,-5.94417605e+00,5.17571015e+00,7.82183448e-01,8.50062568e+02,-1.56544804e+00,NaN,NaN,6.13679987e+00,NaN
