"Variables ->","L_GDP_GAP","L_GDP_MINE_GAP","L_GDP_OTH_GAP","DL_GDP_yearly","DL_GDP_MINE_yearly","DL_GDP_OTH_yearly","D4L_GDP","D4L_GDP_MINE","D4L_GDP_OTH","RS","D4L_CPI","DLA_CPI","D4L_S","DLA_S","MCI","RMC","RR_GAP","L_Z_GAP"
"Comments ->","Output Gap (in %)","MINING Output Gap (in %)","NON-MINING Output Gap (in %)","Real GDP Growth Yearly (in % pa)","Real MINING GDP Growth Yearly (in % pa)","Real NON-MINING GDP Growth Yearly (in % pa)","Real GDP Growth YoY (in % pa)","Real MINING GDP Growth YoY (in % pa)","Real NON-MINING GDP Growth YoY (in % pa)","Nominal Policy Interest Rate (in % pa)","CPI Inflation YoY (in % pa)","CPI Inflation QoQ annualized (in % pa)","Nominal Exch. Rate Depreciation YoY (in % pa)","Nominal Exch. Rate Depreciation QoQ annualized (in % pa)","Real Monetary Condition Index (in % pa)","Real Marginal Cost  (in %)","Real Interest Rate Gap (in %)","Real Exchange Rate Gap (in %)"
"Class[Size] ->","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]","tseries[120-by-1]"
"2000Q1",-4.37904539e+00,3.22269617e+00,-6.58795397e+00,NaN,NaN,NaN,NaN,NaN,NaN,1.12000000e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q2",2.85620747e+00,-2.59044393e-01,3.69724096e+00,NaN,NaN,NaN,NaN,NaN,NaN,1.56000000e+01,NaN,3.00767616e+01,NaN,-1.14785392e+01,NaN,NaN,NaN,NaN
"2000Q3",4.25584638e+00,5.08829853e+00,4.56946698e+00,NaN,NaN,NaN,NaN,NaN,NaN,1.09000000e+01,NaN,-1.47011021e+01,NaN,9.32589724e+00,NaN,NaN,NaN,NaN
"2000Q4",5.80209379e+00,1.12504113e+00,6.62533827e+00,NaN,NaN,NaN,NaN,NaN,NaN,8.60000000e+00,NaN,-2.49590084e+00,NaN,4.91782804e+00,NaN,NaN,NaN,NaN
"2001Q1",-2.75518699e+00,-4.57425426e+00,-2.48982007e+00,NaN,NaN,NaN,7.69818404e+00,-2.72713213e+00,1.04149570e+01,1.12000000e+01,1.04838888e+01,2.90557965e+01,9.94127312e-01,1.21132312e+00,NaN,NaN,-7.50283412e+00,NaN
"2001Q2",-2.02637673e+00,6.02467181e-01,-2.39865732e+00,NaN,NaN,NaN,1.18668920e+00,5.96074402e+00,2.06323358e-01,1.24900000e+01,1.33995135e+00,-6.49898817e+00,4.50682442e+00,2.57224929e+00,NaN,NaN,3.27961042e+00,NaN
"2001Q3",1.09650105e+00,1.32208918e+01,-1.26046183e+00,NaN,NaN,NaN,2.91457907e+00,1.32767369e+01,4.65757859e-01,9.90000000e+00,4.84956726e+00,-6.62638422e-01,1.83394387e+00,-1.36562497e+00,NaN,NaN,-2.46680911e+00,NaN
"2001Q4",1.52966584e+00,7.78615392e+00,6.08403509e-02,NaN,NaN,NaN,1.81914844e+00,1.18670657e+01,-2.63338265e-01,8.61000000e+00,7.39745936e+00,7.69566756e+00,5.03219728e-01,-4.05068532e-01,NaN,NaN,-5.94417605e+00,NaN
